,,,,,
,ID,Title,Mod,Tournament - Stage,Rank Range
,1972186,EPICA - Victims of Contingency [Dereban's Extra] (DakiniBrave),NM1,Dio's Bizarre Holiday Triples Division S Qualifiers,1-2500
,2034284,Zekk - SUMMER [Paradise] (Typ4),NM2,Dio's Bizarre Holiday Triples Division S Qualifiers,1-2500
,2068313,"Yorushika - Hitchcock [Teacher, I want to talk about my life.] (Shiny Braixen)",NM3,Dio's Bizarre Holiday Triples Division S Qualifiers,1-2500
,1020839,Komiya Mao - Yozakura [Seasons] (melloe),HD1,Dio's Bizarre Holiday Triples Division S Qualifiers,1-2500
,40753,Dragonforce - Fury Of The Storm [Expert] (lesjuh),HD2,Dio's Bizarre Holiday Triples Division S Qualifiers,1-2500
,2116103,Tokyo Jihen - Sounan [Insane] (Uberzolik),HR1,Dio's Bizarre Holiday Triples Division S Qualifiers,1-2500
,923589,Nekomata Master+ - Proof of the existence [Expert] (Alheak),HR2,Dio's Bizarre Holiday Triples Division S Qualifiers,1-2500
,115352,Bomfunk MC's - Freestyler [Insane] (Lesjuh),DT1,Dio's Bizarre Holiday Triples Division S Qualifiers,1-2500
,1610037,Ryu* - Sakura Mirage (STARLiGHT Mix) [gtfo's Light Insane] (Jean-Michel Jr),DT2,Dio's Bizarre Holiday Triples Division S Qualifiers,1-2500
,,,,,
,986233,sakuzyo - Senkyou Ranbu [EX] (ktgster),NM1,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,1911494,Dirty Androids - Egret and Willow [Snowy Egret on Willow Branch] (-PC),NM2,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,1752817,"UiNA, Occhoko Bunny - Aa Kenran no Yume ga Gotoku (Epsilon Remix 2018) [Extra] (- Matha -)",NM3,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,871861,yuikonnu - An Ecstatic Vivace [Extreme] (Natsu),NM4,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,2040764,Imperial Circus Dead Decadence - Shinbatsu o Tadori Kyoukotsu ni Itaru [Extra Collab] (Kite),NM5,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,1263848,BlackY - Paradission [Extra] (Cyndere),HD1,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,1992475,Aso Natsuko - Perfect-area complete! [yf's Expert] (gary00737),HD2,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,320180,REDALiCE - Great nano desu [Insane] (terametis),HR1,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,2102251,deleted beatmap,HR2,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,96525,ALiCE'S EMOTiON - Tag (Hardbeat Remix) [Patchouli] (Takos),DT1,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,284207,Seiryu - Ultramarine [Zexous' Hyper] (RLC),DT2,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,350646,Kano - Setsuna Plus [Insane] (luxoDeh),DT3,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,1935933,Yunomi & nicamoq - Indoor Kei Nara Trackmaker (curryrice Remix) [sing's master] (toybot),FM1,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,50148,Tatsh - Cruel Moon [Lunatic] (Shinxyn),FM2,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,1620583,S.S.H. - F-zero ~ Big Blue [Extra] (Saten),FM3,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,1895699,Camellia - Stealth-Dash [Strikethrough] (Realazy),TB,Dio's Bizarre Holiday Triples Division S Round of 16,1-2500
,,,,,
,161534,e-ZUKA - Vital Mission in the Spanish Desert [Fourth Wave] (Saten),NM1,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1603596,Umeri - paranoia [Koori no Hana] (Sakurauchi Riko),NM2,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1296164,Nhato - Poison Dart [Toxicity] (Kyshiro),NM3,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,966034,Perfume - Daijobanai [Hard] (Leminine),NM4,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,260843,goreshit - loli fantasy [no way] (kiri09),NM5,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1886547,School Food Punishment - deviswitch [toybot's Extra] (-Tochi),HD1,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1601287,lapix - Shime [Another] (Akali),HD2,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1115999,Yunomi & nicamoq - Indoor Kei Nara Trackmaker [Another] (Snow Note),HD3,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1941635,winnie - this storyends [Expert] (Seto Kousuke),HR1,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,146235,Ara Potato - Skype x Can Can [Insane] (Real),HR2,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,755900,ETIA. - Lost Love [Last Eve] (JJburstOwO),HR3,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,264212,kemu - Six Trillion Years and Overnight Story [Insane] (cheesiest),DT1,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,120461,Two Door Cinema Club - Cigarettes In The Theatre [Insane] (Lesjuh),DT2,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1368355,Zetsubou Shoujotachi - Zetsubou Restaurant [Insane] (Okoratu),DT3,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1636952,Hatsuki Yura - Shoujo to Ougonryuu no Monogatari [Len's Classic Hyper] (Garden),DT4,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,540979,UPLIFT SPICE - Omega Rhythm(BPM240.Ver) [Hard [AR9]] (SnowNiNo_),FM1,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1994939,Yamamoto Mineko - Pilgrimage [Atelier Totori] (Gust),FM2,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,688397,QubicLoop - Everlasting Guilty Spice [Tarrasky's Spice] (iMega),FM3,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,893536,hentai dude - Tokyo Chopp [prod. Lord ~ Kyo] [ft. Shiki(TMNS)] [extra] (spooky fish),FM4,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,1955089,Nekomata Master - Instrumental Compilation [Calming] (Icekalt),TB,Dio's Bizarre Holiday Triples Division S Quarterfinals,1-2500
,,,,,
,1152893,xi - over the top [Sanctimonious] (-Hwangbo),NM1,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1243791,Eisyo-kobu - Oriental Blossom [konG's Extra] (Crystal),NM2,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1241865,USAO - Boss Rush [Bass Raid] (Akali),NM3,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,160486,e-ZUKA - Assailant in the Night [Speed] (Saten),NM4,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,2207682,Shade - Ontology [Zelq's Extra] (LMT),NM5,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1163349,kors k VS Nekomata Master+ - Chain of Pain [Expert] (Naoka),HD1,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1814107,ak+q & Redeilia - Enigma Helix [Pure Void] (Icekalt),HD2,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1493052,Masque:Rade - Love Destiny [MASTER+] (Snow Note),HD3,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1228840,CLIFF EDGE feat. Nakamura Maiko - The Distance [Master] (handsome),HR1,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1541243,K A Z M A S A - RTCMON [girls' last tour] (BarkingMadDog),HR2,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,280034,Camellia - Kono Hoshi de.... [Another] (Snow Note),HR3,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,138963,"Rie Kugimiya, Yui Horie & Eri Kitamura - Flask Ration [Insane] (Scorpiour)",DT1,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,2225693,Denkishiki Karen Ongaku Shuudan - Silver Orbit [Insane] (Lasse),DT2,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1939983,Minami - Kawaki wo Ameku [PandaHero's Insane] (Mirash),DT3,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,155438,Lon - Yuru Fuwa Jukai Girl [Mystica's Insane] (Garven),DT4,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1081292,Getty vs. DJ DiA - Fox4-Raize- [Kamal's Special Extra] (Kaifin),FM1,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,1650328,DragonForce - Ashes of the Dawn [Extra] (pw384),FM2,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,2021589,Ponkichi - Hyakukakai to Shirotokkuri [kanor's Extra] (Byakuya),FM3,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,316018,Akiyama Uni - The Grimoire of Alice [Extra] (Hollow Wings),FM4,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,711923,Venetian Snares - She Runs [Escape?] (fergas),TB,Dio's Bizarre Holiday Triples Division S Semifinals,1-2500
,,,,,
,2082006,K A Z M A S A - Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) [blend s (190 bpm)] (BarkingMadDog),NM1,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,1774031,aran - Xperanza [=z=] (mustaz),NM2,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,1562497,Camellia vs Akira Complex - Railgun Roulette (VIP) [yf's Extra] (NeilPerry),NM3,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,1211828,TERRASPEX - AMAZING BREAK [DESPAIR] (Monstrata),NM4,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,1960286,Camellia - Newspapers for Magicians [Harmonious] (Mir),NM5,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,1002857,LULICO vs. LOLIPO - We Hate Touhou [Akali's Tuck Fouhou] (Raikozen),NM6,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,567103,Soulja Baka - Soulja Baka [MYSTERY RMX] (jackylam5),NM7,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,2043968,penoreri - Oniyuri [Extra] (Yoari),HD1,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,1454407,lapix - Foolish Hero (P*Light Remix) [Irrationality 2.0] (Cassu2),HD2,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,111680,xi - Ascension to Heaven [Death] (Shiirn),HD3,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,1030098,Euchaeta - Kokoro [Ongaku's Special] (Antares-),HR1,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,157582,Susumu Hirasawa - Bandiria Travellers [Insane] (jesse1412),HR2,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,281526,Ryu* - Plan 8 [AR9] (Playing),HR3,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,106361,seiya-murai feat.ALT - Sumidagawa Karenka [EXTREME] (m i z u k i),DT1,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,58701,IOSYS - Midnight Lightning Bolt [Lunatic] (pieguy1372),DT2,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,726289,Grynpyret - Boba Beach [Habanero] (VINXIS),DT3,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,2154729,"Yorushika - Yuunagi, Bou, Hana Madoi [Insane] (Delis)",DT4,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,2260511,deleted beatmap,FM1,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,1952051,frederic - ONLYWONDER [Singing sometimes] (n0ah),FM2,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,707800,uno (IOSYS) - #Fairy_dancing_in_lake [#AR_9] (Necroluttah),FM3,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,913238,m-flo loves CHEMISTRY - Astrosexy [Astronaut] (Enon),FM4,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,1034421,Matsumoto Sara - Suika [Drunken Flower] (handsome),TB,Dio's Bizarre Holiday Triples Division S Finals,1-2500
,,,,,
,1626300,sokoninaru - Tenohira de odoru [Dancer] (Snepif),NM1,Dio's Bizarre Holiday Triples Division S Grand Finals,1-2500
,760779,xi - Garyou Tensei [Hello] (fartownik),NM2,Dio's Bizarre Holiday Triples Division S Grand Finals,1-2500
,2250833,"TryHardNinja feat. CaptainSparklez - Revenge (ReeK's ""Dude, What's A Genre?"" Remix) [You could use a 1-up] (Fisky)",NM3,Dio's Bizarre Holiday Triples Division S Grand Finals,1-2500
,2054205,mafumafu feat. IA - Adagaeshi Syndrome [Yukiya's Extra] (DJ Lucky),NM4,Dio's Bizarre Holiday Triples Division S Grand Finals,1-2500
,2260268,eisyo-kobu - Faithtival [Yokes' Extra] (Shiroha),NM5,Dio's Bizarre Holiday Triples Division S Grand Finals,1-2500
