,,,,,
,ID,Title,Mod,Tournament - Stage,Rank Range
,2797260,AKINO with bless4 - Yuki no Youni [OJT is back!] (-Brethia),NM1,osu! Japan Tournament 2021  Qualifiers,1-∞
,344709,cosMo@BousouP - For UltraPlayers [Chata's INFINITE] (rui),NM2,osu! Japan Tournament 2021  Qualifiers,1-∞
,1921261,Roselia - Opera of the wasteland [Shizuku's Expert] (newton-),NM3,osu! Japan Tournament 2021  Qualifiers,1-∞
,1949860,Halogen - U Got That (Camellia's Neurofunk Bootleg) [ricardoFlick] (ProfessionalBox),NM4,osu! Japan Tournament 2021  Qualifiers,1-∞
,2797254,Buta-Otome - shi [Doku Ringo] (rollpan),HD1,osu! Japan Tournament 2021  Qualifiers,1-∞
,103132,SHIKI - BABYLON [Another] (miccoliasms),HD2,osu! Japan Tournament 2021  Qualifiers,1-∞
,1701564,XX:me - Escape [Frostlfj's Extra] (jonathanlfj),HR1,osu! Japan Tournament 2021  Qualifiers,1-∞
,137943,syatten remixed celas - Bird Sprite -Awakening of Light- [Another] (Reiji-RJ),HR2,osu! Japan Tournament 2021  Qualifiers,1-∞
,2797262,senya - Shiita de Tsukisashite [Satellite] (Satellite),DT1,osu! Japan Tournament 2021  Qualifiers,1-∞
,1858801,zts - death(from stupefaction) [La Pandaline's Insane] (Mirash),DT2,osu! Japan Tournament 2021  Qualifiers,1-∞
,,,,,
,2363005,TUYU - Kuraberarekko [Inferior] (jonathanlfj),NM1,osu! Japan Tournament 2021  Round of 32,1-∞
,2681313,Memme - BSPower Explosion [Expert] (PandaHero),NM2,osu! Japan Tournament 2021  Round of 32,1-∞
,2197297,Akatsuki Records - Bhavacakra [Phantasmagoria] (SMOKELIND),NM3,osu! Japan Tournament 2021  Round of 32,1-∞
,1113343,Street vs Sin:cK - Adamantite [Extreme] (LowComboFC),NM4,osu! Japan Tournament 2021  Round of 32,1-∞
,772461,penoreri - Everlasting Message [toybot's INFINITE] (ktgster),NM5,osu! Japan Tournament 2021  Round of 32,1-∞
,1760024,team Umifure - DEEP BLUE TOWN e Oide yo [Mir's Expert] (Hanazawa Kana),HD1,osu! Japan Tournament 2021  Round of 32,1-∞
,2468315,x0o0x_ - Big Brother [DADA'S INSANE Mix] (Luscent),HD2,osu! Japan Tournament 2021  Round of 32,1-∞
,2277474,DIRTY OLD MEN - doors [dkblaze's Ephemeral Happiness] (Asuka_-),HR1,osu! Japan Tournament 2021  Round of 32,1-∞
,147370,Jun.A - Ghost Lead [Lunatic] (Scorpiour),HR2,osu! Japan Tournament 2021  Round of 32,1-∞
,596161,senya - Kimi to Dareka no Yasashisa ni [Affection] (kakifly),DT1,osu! Japan Tournament 2021  Round of 32,1-∞
,183425,Chata - D Senjou no Koi no Uta [Insane] (hoLysoup),DT2,osu! Japan Tournament 2021  Round of 32,1-∞
,112845,Hanatan - My True Love [Insane] (spboxer3),DT3,osu! Japan Tournament 2021  Round of 32,1-∞
,385856,Jin - Lost Time Memory [Memory] (luxoDeh),FM1,osu! Japan Tournament 2021  Round of 32,1-∞
,2820485,Sound Horizon - Raijin no Migiude [ExtrA] (rollpan),FM2,osu! Japan Tournament 2021  Round of 32,1-∞
,1870002,wavforme x Annabel - own phrases [Abyss] (captin1),TB,osu! Japan Tournament 2021  Round of 32,1-∞
,,,,,
,1372222,"Wake up, May'n! - One In A Billion [Fantasy] (Rizia)",NM1,osu! Japan Tournament 2021  Round of 16,1-∞
,2831724,celas - Azul (Remix) [Extra] (Satellite),NM2,osu! Japan Tournament 2021  Round of 16,1-∞
,2596103,YOASOBI - Yoru ni Kakeru [Battle's Extra] (Petal),NM3,osu! Japan Tournament 2021  Round of 16,1-∞
,1575929,Memme - Pandemonium [Neil's Extra: #6] (sdafsf),NM4,osu! Japan Tournament 2021  Round of 16,1-∞
,2831708,LeaF - Kyouki Ranbu [Extreme] (rollpan),NM5,osu! Japan Tournament 2021  Round of 16,1-∞
,2831709,40mP feat. Chano - Yuugure One Room [Japan Top 4 Pogchamp] (rollpan),HD1,osu! Japan Tournament 2021  Round of 16,1-∞
,2405667,raito - Blood Drain -Again- [Expert] (DeviousPanda),HD2,osu! Japan Tournament 2021  Round of 16,1-∞
,2831735,senya - Akatsuki no Suiheisen ni [Dawn] (-Brethia),HR1,osu! Japan Tournament 2021  Round of 16,1-∞
,648443,DJ TOTTO VS TOTTO - vajra [Expert] (Kloyd),HR2,osu! Japan Tournament 2021  Round of 16,1-∞
,2216352,Eve - Outsider [Insane] (AirinCat),DT1,osu! Japan Tournament 2021  Round of 16,1-∞
,1097552,Aki - Darkish [Light Insane] (Lortus),DT2,osu! Japan Tournament 2021  Round of 16,1-∞
,129109,Hatsune Miku - Renritsu Houteishiki [Insane] (S o r d a),DT3,osu! Japan Tournament 2021  Round of 16,1-∞
,239104,jippusu - Mushikui Saikede Rhythm [Skystar] (Amamiya Yuko),FM1,osu! Japan Tournament 2021  Round of 16,1-∞
,2256655,Becky - Less Than Three (Ricardo Autobahn Remix) [Expert] (Sonnyc),FM2,osu! Japan Tournament 2021  Round of 16,1-∞
,2348775,Wakeshima Kanon - fragment ornament [promises] (Deca),TB,osu! Japan Tournament 2021  Round of 16,1-∞
,,,,,
,2659377,AliA - limit [NM1] (Kibbleru),NM1,osu! Japan Tournament 2021  Quarterfinals,1-∞
,949234,xi - ANiMA [Oberum Primus] (Kalindraz),NM2,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2220743,Suda Keina - veil [yudragen's extra] (Kaitjuh),NM3,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2785316,MYUKKE. - re[in]flaw [in[co]rect] (captin1),NM4,osu! Japan Tournament 2021  Quarterfinals,1-∞
,1349478,kamome sano Electric Orchestra - HE4VEN ~Tengoku e Youkoso~ [toybot's HEAVENLY] (Kawashiro),NM5,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2843595,Yaju - DEBSTEP! [CHICKEN DINNER!] (rollpan),NM6,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2594993,BAND-MAID - DICE [RESOLVE.] (Lasse),HD1,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2238398,BUTAOTOME - Towa no Maigo [It was all a dream] (Icekalt),HD2,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2071421,Sangatsu no Phantasia - Bittersweet [Despondence] (Deca),HD3,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2113247,FantasticYouth - No title [No difficulty name] (Akitoshi),HR1,osu! Japan Tournament 2021  Quarterfinals,1-∞
,1097476,DJ TOTTO feat.3L - Youkakushi -Ayakashi Kakushi- [Extra Stage] (jonathanlfj),HR2,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2061191,Shinigiwa Satellite feat. Meramipop - Tensei Redemption [Lunatic] (Crissa),HR3,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2843603,senya - Musou no Hana [Satellite] (Satellite),DT1,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2843601,Kozato - Tsuki -Yue- [el psy congroo] (-Brethia),DT2,osu! Japan Tournament 2021  Quarterfinals,1-∞
,1021024,Ax feat.Natsukawa Yoko - Sakimori Renka (Long Version) [Insane] (Seikatu),DT3,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2843596,koma'n - BadBye [owo/] (rollpan),DT4,osu! Japan Tournament 2021  Quarterfinals,1-∞
,362297,Mitsuki - climactic cry [RLQuillab2013] (Mythol),FM1,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2174050,Wisp X - Hibiscus [Expert] (Aeril),FM2,osu! Japan Tournament 2021  Quarterfinals,1-∞
,151229,Hatsune Miku - Mythologia's End [Myth0108ia] (val0108),FM3,osu! Japan Tournament 2021  Quarterfinals,1-∞
,2317079,Ayane - Nageki no Mori [Lament] (Luscent),TB,osu! Japan Tournament 2021  Quarterfinals,1-∞
,,,,,
,1225022,96Neko - Uso No Hibana [Corrupt Emotions] (Depths),NM1,osu! Japan Tournament 2021  Semifinals,1-∞
,1660602,Hazuki - Legend of Millennium [BMD's Expert] (Syph),NM2,osu! Japan Tournament 2021  Semifinals,1-∞
,1856461,Poppin'Party - Christmas no Uta [Poppin'Xmas] (-Mikan),NM3,osu! Japan Tournament 2021  Semifinals,1-∞
,2621145,aran - Xperanza [Another] (Yusomi),NM4,osu! Japan Tournament 2021  Semifinals,1-∞
,1347584,The ghost Of 3.13 - Daydream [ghost] (orinel),NM5,osu! Japan Tournament 2021  Semifinals,1-∞
,2689460,OSTER project - Piano x Forte [Fortissimo] (DeviousPanda),NM6,osu! Japan Tournament 2021  Semifinals,1-∞
,2394332,Feryquitous feat. Aitsuki Nakuru - Fake [Irregular] (captin1),HD1,osu! Japan Tournament 2021  Semifinals,1-∞
,2895386,Sound Horizon - Raijin no Hidariude [ExtrA (OJT2021ver)] (Satellite),HD2,osu! Japan Tournament 2021  Semifinals,1-∞
,1950368,Shiina Ringo - Jinsei wa Yume Darake [Life is Full of Dreams] (melloe),HD3,osu! Japan Tournament 2021  Semifinals,1-∞
,1910836,nano - Artificial Hero [Illusion] (captin1),HR1,osu! Japan Tournament 2021  Semifinals,1-∞
,2730819,Chikamori Kayako - Kigurumi Sungeki [Jounzan's Extra] (Mirash),HR2,osu! Japan Tournament 2021  Semifinals,1-∞
,1617055,DJ Totoriott - Chloe [Extreme] (Yusomi),HR3,osu! Japan Tournament 2021  Semifinals,1-∞
,2895398,senya - Getsurin ni Megurasareta Kioku [Satellite (OJT2021ver)] (Satellite),DT1,osu! Japan Tournament 2021  Semifinals,1-∞
,2689570,Team Grimoire - Grimoire of Blue [Insane] (Seto Kousuke),DT2,osu! Japan Tournament 2021  Semifinals,1-∞
,76612,Tatsh feat. Tsukiko - Floating Darkness [Collab] (Natteke),DT3,osu! Japan Tournament 2021  Semifinals,1-∞
,300183,Hatsuki Yura - Yoiyami Hanabi [Regou] (Lan wings),DT4,osu! Japan Tournament 2021  Semifinals,1-∞
,2065883,umu. - humanly [len's robotically another] (Half),FM1,osu! Japan Tournament 2021  Semifinals,1-∞
,2855640,Zeami - Music Revolver [Oneshot] (rollpan),FM2,osu! Japan Tournament 2021  Semifinals,1-∞
,1234535,Sayuri - Heikousen [Hanabi] (Rizia),FM3,osu! Japan Tournament 2021  Semifinals,1-∞
,2556233,"MY FIRST STORY feat. chelly (EGOIST) - 1,000,000 TIMES [1,000,000 NERFS] (Sing)",TB,osu! Japan Tournament 2021  Semifinals,1-∞
,,,,,
,2715370,Manami Numakura - Sakebe [Outcry] (SkyFlame),NM1,osu! Japan Tournament 2021  Finals,1-∞
,2015643,xi - Ascension to Heaven [Forecoming End] (Night Mare),NM2,osu! Japan Tournament 2021  Finals,1-∞
,2294521,umu. - Dareka no Shinzou ni Nareta Nara [Expert] (xbopost),NM3,osu! Japan Tournament 2021  Finals,1-∞
,1294744,Camellia - Drumstep4 [ERROR404: DRUMSTEP NOT FOUND] (Arbane),NM4,osu! Japan Tournament 2021  Finals,1-∞
,2039544,Imperial Circus Dead Decadence - Shinbatsu o Tadori Kyoukotsu ni Itaru [Mun's Expert] (Kite),NM5,osu! Japan Tournament 2021  Finals,1-∞
,2836380,xi - d e a t h p i a n o ~for four pianos~ [Down's Extra] (Riana),NM6,osu! Japan Tournament 2021  Finals,1-∞
,2027309,HyuN - Illusion of Inflict [Keys of Chaos] (Icekalt),HD1,osu! Japan Tournament 2021  Finals,1-∞
,2868857,senya - Zetsubou no Fuchi [CollaB] (rollpan),HD2,osu! Japan Tournament 2021  Finals,1-∞
,2740342,Aqours - Jingle Bells ga Tomaranai [Yeah! Dancin' Christmas!!] (Cris-),HD3,osu! Japan Tournament 2021  Finals,1-∞
,2559558,Nakae Mitsuki - SPiNEL [Hajimari] (My Angel Ram),HR1,osu! Japan Tournament 2021  Finals,1-∞
,815300,S-C-U x U1 overground - Tenkuu no Hana [Nirvana] (handsome),HR2,osu! Japan Tournament 2021  Finals,1-∞
,2219160,Adust Rain - psychology [lu^3's Extra] (eiri-),HR3,osu! Japan Tournament 2021  Finals,1-∞
,360736,LiSA - Jet Rocket [RUN!!!] (Oracle),DT1,osu! Japan Tournament 2021  Finals,1-∞
,2255707,Emiru no Aishita Tsukiyo ni Dai San Gensou Kyoku wo - ito [Insane] (Lasse),DT2,osu! Japan Tournament 2021  Finals,1-∞
,91462,IOSYS - Chanteikku Sanyousei no Itazura Daisensou [Crazy Jay] (Kochiya Sanae),DT3,osu! Japan Tournament 2021  Finals,1-∞
,1580728,Koronba - Iwashi ga Tsuchi kara Haete Kurunda [Sardine] (Damnjelly),DT4,osu! Japan Tournament 2021  Finals,1-∞
