198,382.165605095541,4,2,0,100,1,0
3255,-90.9090909090909,4,2,0,100,0,0
9752,-83.3333333333333,4,2,0,100,0,0
12427,-66.6666666666667,4,2,0,70,0,0
36885,-55.5555555555556,4,2,0,70,0,0
37029,-55.5555555555556,4,2,0,5,0,0
37076,-55.5555555555556,4,2,0,70,0,0
37602,-55.5555555555556,4,2,0,5,0,0
37650,-55.5555555555556,4,2,0,70,0,0
38366,-55.5555555555556,4,2,0,5,0,0
38414,-55.5555555555556,4,2,0,70,0,0
38557,-55.5555555555556,4,2,0,5,0,0
38605,-55.5555555555556,4,2,0,70,0,0
38940,-55.5555555555556,4,2,0,5,0,0
38987,-55.5555555555556,4,2,0,70,0,0
40086,-55.5555555555556,4,2,0,5,0,0
40134,-55.5555555555556,4,2,0,70,0,0
40468,-55.5555555555556,4,2,0,5,0,0
40516,-55.5555555555556,4,2,0,70,0,0
40850,-55.5555555555556,4,2,0,5,0,0
40898,-55.5555555555556,4,2,0,70,0,0
41615,-55.5555555555556,4,2,0,5,0,0
41662,-55.5555555555556,4,2,0,70,0,0
41997,-55.5555555555556,4,2,0,5,0,0
42045,-55.5555555555556,4,2,0,70,0,0
43143,-55.5555555555556,4,2,0,5,0,0
43191,-55.5555555555556,4,2,0,70,0,0
43717,-55.5555555555556,4,2,0,5,0,0
43764,-55.5555555555556,4,2,0,70,0,0
44481,-55.5555555555556,4,2,0,5,0,0
44529,-55.5555555555556,4,2,0,70,0,0
44672,-55.5555555555556,4,2,0,5,0,0
44720,-55.5555555555556,4,2,0,70,0,0
45054,-55.5555555555556,4,2,0,5,0,0
45102,-55.5555555555556,4,2,0,70,0,0
46010,-55.5555555555556,4,2,0,5,0,0
46057,-55.5555555555556,4,2,0,70,0,0
50261,-133.333333333333,4,2,0,70,0,0
50643,-55.5555555555556,4,2,0,70,0,0
55803,-133.333333333333,4,2,0,70,0,0
55994,-55.5555555555556,4,2,0,70,0,0
63828,-111.111111111111,4,2,0,70,0,0
64401,-55.5555555555556,4,2,0,70,0,0
